work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,Senior Level,Full-Time,Engineer,220348,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,162866,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,235000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Engineering Manager,279000,Canada,Remote,Canada,M
2024,Senior Level,Full-Time,Engineering Manager,191000,Canada,Remote,Canada,M
2024,Senior Level,Full-Time,Software Engineer,229091,United States,On-site,United States,M
2024,Senior Level,Full-Time,Software Engineer,183273,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,304000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Engineer,244000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Solutions Architect,140000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Platform Engineer,465000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Platform Engineer,385000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Manager,167000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Data Architect,231500,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Architect,128500,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Scientist,260625,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Scientist,70800,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Manager,55000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Manager,45000,United States,On-site,United States,M
2024,Executive Level,Full-Time,Data Engineer,100000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Architect,121445,Canada,On-site,Canada,M
2024,Senior Level,Full-Time,Data Architect,99812,Canada,On-site,Canada,M
2024,Senior Level,Full-Time,Data Architect,167500,United States,On-site,United States,M
2024,Entry Level,Full-Time,Master Data Management,49080,United Kingdom,On-site,United Kingdom,M
2024,Entry Level,Full-Time,Master Data Management,46803,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Data Integration Developer,92400,United States,Remote,United States,M
2024,Mid Level,Full-Time,Data Integration Developer,64700,United States,Remote,United States,M
2024,Mid Level,Full-Time,Research Engineer,130000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Research Engineer,120000,United States,Remote,United States,M
2024,Mid Level,Full-Time,MLOps Engineer,175000,United States,On-site,United States,M
2024,Mid Level,Full-Time,MLOps Engineer,125000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analyst,85000,Italy,On-site,Italy,M
2024,Mid Level,Full-Time,Data Analyst,70000,Italy,On-site,Italy,M
2024,Mid Level,Full-Time,Data Analyst,105975,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analyst,67800,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Analyst,132500,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Engineer,144050,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Engineer,91500,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Engineer,178090,United States,Remote,United States,M
2024,Mid Level,Full-Time,Data Engineer,81978,United States,Remote,United States,M
2024,Senior Level,Full-Time,Engineer,341250,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,183750,United States,On-site,United States,M
2024,Entry Level,Full-Time,Consultant,83850,United States,On-site,United States,M
2024,Entry Level,Full-Time,Consultant,55900,United States,On-site,United States,M
2024,Senior Level,Full-Time,Lead Engineer,234000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Lead Engineer,146000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Software Engineer,81900,United States,On-site,United States,M
2024,Senior Level,Full-Time,Solutions Architect,143000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Engineer,156300,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Engineer,170000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Data Engineer,82000,United States,Remote,United States,M
2024,Senior Level,Full-Time,AI Solution Architect,209600,United States,On-site,United States,M
2024,Senior Level,Full-Time,AI Solution Architect,149240,United States,On-site,United States,M
2024,Senior Level,Full-Time,Machine Learning Researcher,264200,United States,On-site,United States,M
2024,Senior Level,Full-Time,Machine Learning Researcher,143100,United States,On-site,United States,M
2024,Entry Level,Full-Time,Data Scientist,126500,United States,On-site,United States,M
2024,Entry Level,Full-Time,Data Scientist,92000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Team Lead,186700,United States,Remote,United States,M
2024,Senior Level,Full-Time,Data Team Lead,100500,United States,Remote,United States,M
2024,Mid Level,Full-Time,Associate,97300,United States,On-site,United States,M
2024,Entry Level,Full-Time,Product Manager,232000,United States,On-site,United States,M
2024,Entry Level,Full-Time,Product Manager,130000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Specialist,87400,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Specialist,64600,United States,On-site,United States,M
2024,Senior Level,Full-Time,Software Engineer,125600,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Engineer,124935,South Africa,On-site,South Africa,M
2024,Mid Level,Full-Time,Data Engineer,76050,South Africa,On-site,South Africa,M
2024,Mid Level,Full-Time,Data Engineer,119200,United States,Remote,United States,M
2024,Mid Level,Full-Time,Data Engineer,86600,United States,Remote,United States,M
2024,Entry Level,Part-Time,Data Engineer,69000,United States,On-site,United States,M
2024,Entry Level,Part-Time,Data Engineer,35776,United States,On-site,United States,M
2024,Mid Level,Full-Time,Machine Learning Engineer,116000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Architect,220500,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Architect,120500,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Scientist,161863,United States,On-site,United States,M
2024,Entry Level,Full-Time,Data Scientist,44000,Netherlands,On-site,Netherlands,M
2024,Senior Level,Full-Time,Data Scientist,193300,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Scientist,122800,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Scientist,135150,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analyst,66666,Netherlands,On-site,Netherlands,M
2024,Mid Level,Full-Time,Data Analyst,46666,Netherlands,On-site,Netherlands,M
2024,Senior Level,Full-Time,Data Analyst,118514,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Analyst,91163,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analyst,101109,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analyst,54496,United States,On-site,United States,M
2024,Mid Level,Full-Time,Engineer,128000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Engineer,64000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Engineer,163000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Engineer,77000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Site Reliability Engineer,181818,Switzerland,On-site,Switzerland,M
2024,Senior Level,Full-Time,Site Reliability Engineer,136363,Switzerland,On-site,Switzerland,M
2024,Senior Level,Full-Time,Engineer,210000,Canada,On-site,Canada,M
2024,Senior Level,Full-Time,Engineer,110000,Canada,On-site,Canada,M
2024,Mid Level,Full-Time,Associate,254000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Associate,136800,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,254000,United States,On-site,United States,M
